Activo,BLOCK_REASON,Rows,Variant,VariantClass
AUDUSD.r,H4_BULLISH_FAN_MISSING,20879,faithful_operable_sma200_primary,resultado_valido
AUDUSD.r,H4_BEARISH_FAN_MISSING,20818,faithful_operable_sma200_primary,resultado_valido
AUDUSD.r,H4_SMA200_BEAR_FILTER_MISSING,2215,faithful_operable_sma200_primary,resultado_valido
AUDUSD.r,H4_SMA200_BULL_FILTER_MISSING,1999,faithful_operable_sma200_primary,resultado_valido
AUDUSD.r,RETRACE_TOO_DEEP,1105,faithful_operable_sma200_primary,resultado_valido
AUDUSD.r,H4_SMA200_UNAVAILABLE,584,faithful_operable_sma200_primary,resultado_valido
AUDUSD.r,MOMENTUM_CONFIRM_MISSING,526,faithful_operable_sma200_primary,resultado_valido
AUDUSD.r,RETRACE_BELOW_MIN,423,faithful_operable_sma200_primary,resultado_valido
AUDUSD.r,RR_BELOW_MIN,10,faithful_operable_sma200_primary,resultado_valido
AUDUSD.r,H4_NO_ATTRACTOR,8,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,H4_BEARISH_FAN_MISSING,21513,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,H4_BULLISH_FAN_MISSING,20225,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,H4_SMA200_BEAR_FILTER_MISSING,2384,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,H4_SMA200_BULL_FILTER_MISSING,2080,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,RETRACE_TOO_DEEP,1120,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,MOMENTUM_CONFIRM_MISSING,435,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,RETRACE_BELOW_MIN,346,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,H4_SMA200_UNAVAILABLE,296,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,H4_NO_ATTRACTOR,8,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,RR_BELOW_MIN,3,faithful_operable_sma200_primary,resultado_valido
EURJPY.r,H4_BULLISH_FAN_MISSING,35276,faithful_operable_sma200_primary,resultado_valido
EURJPY.r,H4_BEARISH_FAN_MISSING,33829,faithful_operable_sma200_primary,resultado_valido
EURJPY.r,H4_SMA200_BEAR_FILTER_MISSING,4408,faithful_operable_sma200_primary,resultado_valido
EURJPY.r,H4_SMA200_BULL_FILTER_MISSING,3448,faithful_operable_sma200_primary,resultado_valido
EURJPY.r,RETRACE_TOO_DEEP,2146,faithful_operable_sma200_primary,resultado_valido
EURJPY.r,RETRACE_BELOW_MIN,723,faithful_operable_sma200_primary,resultado_valido
EURJPY.r,MOMENTUM_CONFIRM_MISSING,694,faithful_operable_sma200_primary,resultado_valido
EURJPY.r,RR_BELOW_MIN,245,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_BEARISH_FAN_MISSING,35837,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_BULLISH_FAN_MISSING,33660,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_SMA200_BULL_FILTER_MISSING,4471,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_SMA200_BEAR_FILTER_MISSING,3752,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,RETRACE_TOO_DEEP,1752,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,RETRACE_BELOW_MIN,1004,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,MOMENTUM_CONFIRM_MISSING,705,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,RR_BELOW_MIN,17,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,H4_BULLISH_FAN_MISSING,20795,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,H4_BEARISH_FAN_MISSING,20484,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,H4_SMA200_BULL_FILTER_MISSING,2636,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,H4_SMA200_BEAR_FILTER_MISSING,2392,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,RETRACE_TOO_DEEP,950,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,RETRACE_BELOW_MIN,511,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,H4_SMA200_UNAVAILABLE,462,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,MOMENTUM_CONFIRM_MISSING,405,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,RR_BELOW_MIN,15,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,H4_NO_ATTRACTOR,8,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,H4_BULLISH_FAN_MISSING,21068,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,H4_BEARISH_FAN_MISSING,20378,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,H4_SMA200_BULL_FILTER_MISSING,2503,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,H4_SMA200_BEAR_FILTER_MISSING,2056,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,RETRACE_TOO_DEEP,1177,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,H4_SMA200_UNAVAILABLE,488,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,MOMENTUM_CONFIRM_MISSING,473,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,RETRACE_BELOW_MIN,373,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,RR_BELOW_MIN,18,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,H4_NO_ATTRACTOR,8,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,PRIMARY_TRIGGER_MISSING,2,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,H4_BULLISH_FAN_MISSING,20526,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,H4_BEARISH_FAN_MISSING,20160,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,H4_SMA200_BEAR_FILTER_MISSING,2536,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,H4_SMA200_BULL_FILTER_MISSING,2280,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,RETRACE_TOO_DEEP,1174,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,H4_SMA200_UNAVAILABLE,488,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,RETRACE_BELOW_MIN,486,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,MOMENTUM_CONFIRM_MISSING,403,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,H4_NO_ATTRACTOR,8,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,RR_BELOW_MIN,6,faithful_operable_sma200_primary,resultado_valido
